com.samsung.shealth.best_records,6221053,1
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,extra_type,deviceuuid,pkg_name,controller_id,datauuid
,-100003,2022-01-15 21:00:01.147,2022-01-15 21:00:01.147,,1642204800000,0,11416.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,b355aa5e-7c42-4045-b6dc-cbb053318bea,
,-100003,2022-01-16 21:00:01.005,2022-01-16 21:00:01.005,,1642291200000,0,40005.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,375b84d2-917a-4e80-91f1-abde99bd51d0,
cbb4f74a-a592-4b28-bfa5-32338280b1bf,-1,2022-08-08 22:20:41.421,2022-01-24 11:58:05.585,,1643025505974,4,10.63,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,131a26e1-fc48-4bef-928e-40f398177a23,
cbb4f74a-a592-4b28-bfa5-32338280b1bf,-1,2022-08-08 22:20:41.421,2022-01-24 11:58:05.635,,1643025505974,1,2222554.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,2f26a2a5-6ce7-4b58-a900-ed35c0dba93b,
2c7e86d7-56e4-4dc4-8409-b18ede14658b,-1,2022-08-08 22:20:41.328,2022-01-25 14:22:01.869,,1643125534116,4,12.25,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,13d10e64-a947-473b-86d7-24d8b9a2c0b5,
2c7e86d7-56e4-4dc4-8409-b18ede14658b,-1,2022-08-08 22:20:41.328,2022-01-25 14:22:01.878,,1643125534116,1,4762687.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,59190520-e19a-46f4-b2ce-6240053da006,
a929b249-f353-45a6-ba63-774796da55c7,-1,2022-08-08 22:20:41.404,2022-01-28 16:04:09.209,,1643387551059,3,27908.18,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,d5dd9e8a-549d-45fc-a950-8ecbf0fd1bb7,
2c7e86d7-56e4-4dc4-8409-b18ede14658b,-1,2022-08-08 22:20:41.328,2022-01-25 14:22:01.916,,1643125534116,3,23384.41,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,2449bb14-65c4-4192-8b22-7a5c8ba40b0b,
9e4d6d7f-3a8e-4a6c-b2dd-423d0b53ba4a,-1,2022-08-08 22:20:41.382,2022-02-05 14:13:56.056,,1644075544217,2,625.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,18984d4e-9b7e-4291-a823-e9548083b31e,
2c7e86d7-56e4-4dc4-8409-b18ede14658b,-1,2022-08-08 22:20:41.328,2022-01-25 14:22:01.894,,1643125534116,2,518.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,19290281-d015-4876-92d0-2ce660816a80,
0ae08497-70dc-410d-92d4-af838b5b5e3f,-1,2022-08-08 22:20:41.288,2022-02-13 15:34:49.318,,1644759643824,1,9171800.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,f5b68748-71e6-4609-aef2-4ea35af54706,
d079607e-58b7-4088-aef6-ccd94a05081c,-1,2022-08-08 22:20:41.427,2022-02-07 15:18:27.736,,1644248601180,1,6101502.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,3e12f9d4-ba22-494f-8c15-0eba0bd74a07,
0ae08497-70dc-410d-92d4-af838b5b5e3f,-1,2022-08-08 22:20:41.288,2022-02-13 15:34:49.352,,1644759643824,2,870.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,9e26a970-def0-4799-8847-8e8fbc1d127d,
e291ff94-2144-4260-a83f-a01dd38ade29,-1,2022-08-08 22:20:41.433,2022-05-04 14:13:21.791,,1651666255991,4,13.599999,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,5f5bdff7-0a8e-490c-912c-6280d8cfde13,
e291ff94-2144-4260-a83f-a01dd38ade29,-1,2022-08-08 22:20:41.433,2022-05-04 14:13:21.885,,1651666255991,3,42263.01,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,d332e43b-2522-4e02-af00-6ea80063ab4b,
f98200df-58b3-4704-8422-0cd080eb16fc,-1,2022-08-08 22:20:41.449,2022-05-05 15:19:36.010,,1651764150153,4,15.28,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,bbd74d35-e459-4ab5-b491-3a9267e1276e,
9e4d6d7f-3a8e-4a6c-b2dd-423d0b53ba4a,-1,2022-08-08 22:20:41.382,2022-02-05 14:13:56.075,,1644075544217,3,28190.63,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,138b551c-0b47-43f5-94e0-2384c82428df,
ec714bf8-fea5-4258-88c8-291bd08b9539,-1,2022-08-08 22:20:41.441,2022-05-06 14:18:54.749,,1651847115379,2,1093.0,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,15b929b3-8440-4841-88e5-11fb8e1ed792,
b81ac84f-0535-47a8-8398-e6a13f356af2,-1,2022-08-08 22:20:41.416,2022-07-08 13:18:03.982,,1657290511732,4,17.93,-1,e7FCb+MfnB,com.sec.android.app.shealth,tracker.sport_cycling,83645f8e-5ad8-48ce-bc19-447f0bb77d37,
