com.samsung.shealth.report,6221053,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Europe/Istanbul,1641675600000,2022-01-16 12:26:56.780,2022-01-16 12:26:55.007,0,0,2,e7FCb+MfnB,X,com.sec.android.app.shealth,844f5bee-8765-4b54-8fe5-5715d1d8a542,844f5bee-8765-4b54-8fe5-5715d1d8a542.compressed_content.json,
Europe/Istanbul,1642280400000,2022-01-23 12:26:37.721,2022-01-23 12:26:35.619,0,0,2,e7FCb+MfnB,X,com.sec.android.app.shealth,90c870b3-2e75-4c83-835c-0e09e42529fa,90c870b3-2e75-4c83-835c-0e09e42529fa.compressed_content.json,
Europe/Istanbul,1642885200000,2022-01-30 12:26:40.989,2022-01-30 12:26:37.823,0,0,2,e7FCb+MfnB,X,com.sec.android.app.shealth,f13e7f24-c724-400d-9309-eb66cf970102,f13e7f24-c724-400d-9309-eb66cf970102.compressed_content.json,
Europe/Istanbul,1645304400000,2022-02-27 12:30:52.533,2022-02-27 12:30:50.313,0,0,2,e7FCb+MfnB,X,com.sec.android.app.shealth,9e419ed1-5c60-40ec-9c3b-60eb26a16db7,9e419ed1-5c60-40ec-9c3b-60eb26a16db7.compressed_content.json,
Europe/Istanbul,1645909200000,2022-03-06 12:37:22.856,2022-03-06 12:37:21.022,0,0,2,e7FCb+MfnB,X,com.sec.android.app.shealth,e6619706-f22d-403f-8e9b-332c4c56ada5,e6619706-f22d-403f-8e9b-332c4c56ada5.compressed_content.json,
Europe/Istanbul,1646514000000,2022-03-13 12:51:39.024,2022-03-13 12:51:37.447,0,0,2,e7FCb+MfnB,X,com.sec.android.app.shealth,78083007-fe07-4935-b78d-b59a3789f709,78083007-fe07-4935-b78d-b59a3789f709.compressed_content.json,
Europe/Istanbul,1649538000000,2022-04-17 12:26:41.786,2022-04-17 12:26:38.949,0,0,2,e7FCb+MfnB,X,com.sec.android.app.shealth,5f5be8f1-cc4a-4556-bd4e-37731c75b93d,5f5be8f1-cc4a-4556-bd4e-37731c75b93d.compressed_content.json,
Europe/Istanbul,1648933200000,2022-04-10 12:26:47.663,2022-04-10 12:26:46.097,0,0,2,e7FCb+MfnB,X,com.sec.android.app.shealth,bf9e7417-ee2c-4f6c-89bd-ee64249d132c,bf9e7417-ee2c-4f6c-89bd-ee64249d132c.compressed_content.json,
Europe/Istanbul,1650142800000,2022-04-24 12:26:32.059,2022-04-24 12:26:30.342,0,0,2,e7FCb+MfnB,X,com.sec.android.app.shealth,f61f92eb-1ea2-4bf7-878e-031108eeb8ea,f61f92eb-1ea2-4bf7-878e-031108eeb8ea.compressed_content.json,
Europe/Istanbul,1653166800000,2022-05-29 12:27:16.365,2022-05-29 12:27:14.570,0,0,2,e7FCb+MfnB,X,com.sec.android.app.shealth,6f1c6f9d-a5fe-42db-8b28-9e84bed23107,6f1c6f9d-a5fe-42db-8b28-9e84bed23107.compressed_content.json,
Europe/Istanbul,1652562000000,2022-05-22 12:35:03.861,2022-05-22 12:35:01.813,0,0,2,e7FCb+MfnB,X,com.sec.android.app.shealth,0e536e7c-baf4-4593-a155-cc96f7b52314,0e536e7c-baf4-4593-a155-cc96f7b52314.compressed_content.json,
Europe/Istanbul,1653771600000,2022-06-05 12:26:28.828,2022-06-05 12:26:27.358,0,0,2,e7FCb+MfnB,X,com.sec.android.app.shealth,81e5d2f5-5c0a-4982-b929-3dc3243e3bde,81e5d2f5-5c0a-4982-b929-3dc3243e3bde.compressed_content.json,
