com.samsung.shealth.rewards,6221053,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2022-01-14 21:00:00.000,,10009,,2022-01-15 21:00:08.821,2022-01-15 20:45:14.900,,,tracker_pedometer_reward_most_walking_day,UTC+0300,"{""mTarget"":-1,""mValue"":11827}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-14 21:00:00.000,77c4dd7d-d43c-4e85-9748-cc67799bd04f,1,
,2022-01-14 21:00:00.000,,10009,,2022-01-20 21:00:02.112,2022-01-15 19:54:40.517,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":6000,""mValue"":11827}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-14 21:00:00.000,fe7c3f66-511d-43a3-a743-42384bc55386,1,
,2022-01-14 21:00:00.000,,100003,,2022-01-15 20:56:47.245,2022-01-15 19:54:41.040,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":6000,""mValue"":11416}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-14 21:00:00.000,99054d48-2758-4259-9c57-9c561d15e9b1,1,
,2022-01-14 21:00:00.000,,10009,,2022-01-16 21:00:01.157,2022-01-16 21:00:01.157,,,tracker_pedometer_reward_most_walking_day,UTC+0300,"{""mTarget"":-1,""mValue"":11827}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-14 21:00:00.000,d55b57b1-e7e7-43ea-b06c-d444cc380f45,1,
,2022-01-15 21:00:00.000,,100003,,2022-01-16 20:59:20.380,2022-01-16 09:56:01.821,,,tracker_pedometer_reward_most_walking_day,UTC+0300,"{""mTarget"":-1,""mValue"":40005}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-15 21:00:00.000,20bcee8a-a40c-4801-b04a-03514b1196cc,1,
,2022-01-18 21:00:00.000,,100003,,2022-01-19 20:58:38.119,2022-01-19 16:04:28.748,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":15163}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-18 21:00:00.000,5691ee07-bec4-4aac-9e8c-86bb62b61ef1,1,
,2022-01-14 21:00:00.000,,100003,,2022-01-15 20:56:47.264,2022-01-15 20:45:15.461,,,tracker_pedometer_reward_most_walking_day,UTC+0300,"{""mTarget"":-1,""mValue"":11416}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-14 21:00:00.000,a136cbdf-1872-4fba-af50-b87c55cfbb7e,1,
,2022-01-21 21:00:00.000,,100003,,2022-01-22 20:55:02.384,2022-01-22 14:35:14.343,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":20186}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-21 21:00:00.000,cba4f116-05a8-4eb4-a4a4-f3a6ad361d81,1,
,2022-01-16 21:00:00.000,,10009,,2022-01-22 21:00:28.818,2022-01-17 15:39:02.568,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":6000,""mValue"":14869}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-16 21:00:00.000,414c2de0-8001-4cdb-b1a3-8c678ba105b2,1,
,2022-01-15 21:00:00.000,,10009,,2022-01-16 21:00:01.152,2022-01-16 10:14:21.669,,,tracker_pedometer_reward_most_walking_day,UTC+0300,"{""mTarget"":-1,""mValue"":40005}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-15 21:00:00.000,76d8f2c3-4069-47ff-aad8-c29c92cbb58d,1,
1200,,11007,,cbb4f74a-a592-4b28-bfa5-32338280b1bf,2022-05-06 14:18:54.549,2022-01-24 11:58:05.530,,,1200,UTC+0300,9579.76,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2022-01-24 11:58:05.390,4431c81b-9d24-47db-b348-a63926abf979,0,
1200,,11007,,2c7e86d7-56e4-4dc4-8409-b18ede14658b,2022-05-06 14:18:54.549,2022-01-25 14:22:01.831,,,1200,UTC+0300,23384.41,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.best.record.distance.lifetime,2022-01-25 14:22:01.706,959f8602-7bc1-47c6-9498-08032354ca70,0,
,2022-01-17 21:00:00.000,,100003,,2022-01-18 20:48:02.012,2022-01-18 13:28:31.697,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":6000,""mValue"":12229}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-17 21:00:00.000,ed5c7e53-3ff7-4243-90ac-37657746ee1d,1,
,2022-01-24 21:00:00.000,,100003,,2022-01-25 20:37:44.749,2022-01-25 19:57:37.157,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":10153}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-24 21:00:00.000,c8f3c4ea-42a9-49d1-bc39-3b9c73acd786,1,
,2022-01-20 21:00:00.000,,100003,,2022-01-21 20:48:54.959,2022-01-21 19:14:24.449,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":18310}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-20 21:00:00.000,73c4db25-2bee-4045-b190-b42a8f40e3b5,1,
,2022-01-18 21:00:00.000,,10009,,2022-01-24 21:00:01.816,2022-01-19 16:04:28.222,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":15163}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-18 21:00:00.000,b58fbe5e-6ace-4e6a-a4aa-79da9a39b947,1,
,2022-01-27 21:00:00.000,,10009,,2022-02-02 21:00:02.057,2022-01-28 14:26:58.967,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":18644}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-27 21:00:00.000,9da9a33b-11c0-42da-90e0-ac9c48baf936,1,
,2022-01-23 21:00:00.000,,100003,,2022-01-24 19:21:40.301,2022-01-24 09:39:44.834,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":17244}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-23 21:00:00.000,8ec8be3b-4743-42c7-8ba6-662a8b695981,1,
,2022-01-19 21:00:00.000,,10009,,2022-01-25 21:00:01.829,2022-01-20 12:15:00.488,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":14504}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-19 21:00:00.000,ba8c0129-1e88-4793-9b15-0e8213a482c6,1,
,2022-01-21 21:00:00.000,,10009,,2022-01-27 21:00:02.271,2022-01-22 14:35:00.940,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":20788}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-21 21:00:00.000,9464d88d-0bc9-453f-b68d-0df23d2d2bd2,1,
,2022-01-22 21:00:00.000,,10009,,2022-01-28 21:00:02.422,2022-01-23 15:43:59.308,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":13035}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-22 21:00:00.000,ecf7f5db-883f-40f1-bbe0-c6d40413c6ab,1,
5001,,11007,,a929b249-f353-45a6-ba63-774796da55c7,2022-01-28 16:04:09.160,2022-01-28 16:04:09.160,,,5001,UTC+0300,10000,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2022-01-28 16:04:09.005,ee75db58-4b4b-4e85-95bb-d2e3afcd0138,0,
1203,,11007,,cbb4f74a-a592-4b28-bfa5-32338280b1bf,2022-05-06 14:18:54.601,2022-01-24 11:58:05.535,,,1203,UTC+0300,2222554,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2022-01-24 11:58:05.390,1268385b-48ba-42e2-bfd8-26ad49e01d12,0,
,2022-01-29 21:00:00.000,,10009,,2022-02-04 21:00:02.044,2022-01-30 13:45:13.692,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":10683}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-29 21:00:00.000,1f1c9c32-4d95-44c7-b3a6-257efc86231a,1,
1202,,11007,,1fbb2d1e-3e05-4677-bdf9-64e30c708ffd,2022-05-08 15:17:12.321,2022-01-24 15:17:26.949,,,1202,UTC+0300,4.3828278,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.best.record.pace.lifetime,2022-01-24 15:17:26.814,b9f0dd4c-5723-419b-b298-7d3402c0f8b9,0,
,2022-02-03 21:00:00.000,,100003,,2022-02-04 20:18:17.384,2022-02-04 19:46:57.480,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":10261}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-02-03 21:00:00.000,d4d8a173-621d-494c-882f-b648502888e6,1,
1203,,11007,,2c7e86d7-56e4-4dc4-8409-b18ede14658b,2022-05-06 14:18:54.601,2022-01-25 14:22:01.836,,,1203,UTC+0300,4762687,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2022-01-25 14:22:01.706,f6beb54d-9d3d-4778-b3ec-23044782ff07,0,
5001,,11007,,2c7e86d7-56e4-4dc4-8409-b18ede14658b,2022-01-25 14:22:01.852,2022-01-25 14:22:01.852,,,5001,UTC+0300,10000,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2022-01-25 14:22:01.706,68ecd127-0640-4e7a-bf9d-befa52cb1f5f,0,
,2022-02-04 21:00:00.000,,100003,,2022-02-05 18:28:01.100,2022-02-05 14:26:15.736,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":16672}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-02-04 21:00:00.000,25fe9637-cb79-4b7d-a75d-ed1f93ca9518,1,
5001,,11007,,c1b71aa1-ffb5-4073-8e51-e1479a29f26c,2022-01-27 15:48:13.540,2022-01-27 15:48:13.540,,,5001,UTC+0300,10000,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2022-01-27 15:48:13.436,dad2d398-a75e-4a23-a28c-2fb5480bd66c,0,
1203,,11007,,d079607e-58b7-4088-aef6-ccd94a05081c,2022-05-06 14:18:54.601,2022-02-07 15:18:27.693,,,1203,UTC+0300,6101502,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2022-02-07 15:18:27.536,bcf3cd27-4bc1-42a8-beaf-cadbe6bad803,0,
1205,,11007,,a929b249-f353-45a6-ba63-774796da55c7,2022-05-06 14:18:54.642,2022-01-28 16:04:09.149,,,1205,UTC+0300,618.0,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.best.record.calories.lifetime,2022-01-28 16:04:09.005,d66ed4c9-7240-4c16-b81f-4d128cb5181e,0,
,2022-02-08 21:00:00.000,,100003,,2022-02-09 20:17:01.031,2022-02-09 13:44:02.469,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":17721}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-02-08 21:00:00.000,1ef6fb5d-f869-4512-aafd-7d353719bd04,1,
,2022-01-15 21:00:00.000,,10009,,2022-01-21 21:00:03.030,2022-01-16 06:44:23.370,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":6000,""mValue"":40005}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-15 21:00:00.000,ba24f141-078e-4935-9562-23e4c22b2d98,1,
,2022-01-28 21:00:00.000,,100003,,2022-01-29 19:21:58.643,2022-01-29 14:43:03.000,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":13441}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-28 21:00:00.000,bdaa5a89-52c8-430b-8d57-a1e2a4f6bd63,1,
,2022-02-10 21:00:00.000,,10009,,2022-02-16 21:00:02.235,2022-02-11 10:55:01.799,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":26022}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-02-10 21:00:00.000,feed629c-6257-4967-8995-ab2cf1b58bd9,1,
5001,,11007,,97e1a62f-2ba9-40ef-a895-76a0f783e8c2,2022-02-04 12:34:22.957,2022-02-04 12:34:22.957,,,5001,UTC+0300,10000,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2022-02-04 12:34:22.825,23d29a38-9428-4cd9-ac1d-c98b29edb452,0,
5001,,11007,,110d5261-bdfb-4c28-ac62-39f6799477c9,2022-02-13 10:26:34.522,2022-02-13 10:26:34.522,,,5001,UTC+0300,10000,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2022-02-13 10:26:34.350,1db9142a-b24f-4a65-9e31-a78dfd7839fb,0,
5001,,11007,,08e60204-fe88-4c03-9f0e-d7db4c1b353e,2022-01-27 09:34:30.602,2022-01-27 09:34:30.602,,,5001,UTC+0300,10000,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2022-01-27 09:34:30.513,7383a404-0786-43d5-87b5-d063947af90b,0,
5001,,11007,,9e4d6d7f-3a8e-4a6c-b2dd-423d0b53ba4a,2022-02-05 14:13:56.018,2022-02-05 14:13:56.018,,,5001,UTC+0300,10000,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2022-02-05 14:13:55.847,d89b08b8-c2cc-4e73-a760-af4618f09c9c,0,
,2022-01-27 21:00:00.000,,100003,,2022-01-28 18:19:51.896,2022-01-28 14:27:01.105,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":18644}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-01-27 21:00:00.000,43cb986b-1681-45b9-a22e-6e0c6232f09a,1,
5001,,11007,,0ae08497-70dc-410d-92d4-af838b5b5e3f,2022-02-13 15:34:49.220,2022-02-13 15:34:49.220,,,5001,UTC+0300,10000,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.goal.achievement.distance,2022-02-13 15:34:48.950,244f8ae7-fad9-451a-9854-1a04593ee683,0,
1202,,11007,,645ee3b6-bf48-48cb-9e43-0e68141035e9,2022-05-08 15:17:12.321,2022-01-29 13:09:43.825,,,1202,UTC+0300,5.3402796,e7FCb+MfnB,com.sec.android.app.shealth,sport.tracker.best.record.pace.lifetime,2022-01-29 13:09:43.737,688b45c9-cd46-44f5-9f5f-b4ad231b5d4c,0,
,2022-02-14 21:00:00.000,,100003,,2022-02-15 16:59:23.119,2022-02-15 10:49:13.637,,,tracker_pedometer_reward_target_achieved,UTC+0300,"{""mTarget"":10000,""mValue"":19114}",e7FCb+MfnB,com.sec.android.app.shealth,tracker.pedometer,2022-02-14 21:00:00.000,563894f3-de3b-4bdc-9f97-c2dab96b53fd,1,
