com.samsung.shealth.tracker.pedometer_day_summary,6221053,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
11827,fda9fe9d-79c2-41d3-8f41-82d34479c1d7.binning_data.json,5606864,6000,1516,2022-01-15 21:00:08.841,com.sec.android.app.shealth,2022-01-15 21:00:01.355,,1.7735976,9944.32,473.99,10311,e7FCb+MfnB,com.sec.android.app.shealth,0,fda9fe9d-79c2-41d3-8f41-82d34479c1d7.achievement.json,fda9fe9d-79c2-41d3-8f41-82d34479c1d7,1642204800000,
11416,4b8038ea-255d-4fc8-aff0-7a4b4fbc4636.binning_data.json,5435067,6000,1406,2022-01-15 20:56:47.169,com.sec.android.app.shealth,2022-01-15 10:15:01.364,4b8038ea-255d-4fc8-aff0-7a4b4fbc4636.source_info.json,1.7609516,9570.89,454.5,10010,VfS0qUERdZ,com.sec.android.app.shealth,0,4b8038ea-255d-4fc8-aff0-7a4b4fbc4636.achievement.json,4b8038ea-255d-4fc8-aff0-7a4b4fbc4636,1642204800000,
40005,3db28420-263f-4132-a31e-1a032aa79a81.binning_data.json,20470073,6000,707,2022-01-16 20:59:20.276,com.sec.android.app.shealth,2022-01-15 21:13:00.034,3db28420-263f-4132-a31e-1a032aa79a81.source_info.json,1.5477908,31683.39,1421.23,39298,VfS0qUERdZ,com.sec.android.app.shealth,0,3db28420-263f-4132-a31e-1a032aa79a81.achievement.json,3db28420-263f-4132-a31e-1a032aa79a81,1642291200000,
12229,da779f4f-9a77-4008-8370-401f7e6beeee.binning_data.json,6376986,6000,118,2022-01-18 21:00:00.873,com.sec.android.app.shealth,2022-01-18 21:00:00.873,,1.5156046,9664.99,495.03,12111,e7FCb+MfnB,com.sec.android.app.shealth,0,da779f4f-9a77-4008-8370-401f7e6beeee.achievement.json,da779f4f-9a77-4008-8370-401f7e6beeee,1642464000000,
40005,0466cf7d-2f69-407c-9849-b33315666a95.binning_data.json,20470073,6000,707,2022-01-16 21:00:01.207,com.sec.android.app.shealth,2022-01-16 21:00:01.207,,1.5477908,31683.39,1421.23,39298,e7FCb+MfnB,com.sec.android.app.shealth,0,0466cf7d-2f69-407c-9849-b33315666a95.achievement.json,0466cf7d-2f69-407c-9849-b33315666a95,1642291200000,
15163,20c8da90-6616-4282-8a7b-ab67d506ccbc.binning_data.json,7396128,10000,722,2022-01-19 21:00:15.699,com.sec.android.app.shealth,2022-01-19 21:00:15.699,,1.6699129,12350.89,637.12,14441,e7FCb+MfnB,com.sec.android.app.shealth,0,20c8da90-6616-4282-8a7b-ab67d506ccbc.achievement.json,20c8da90-6616-4282-8a7b-ab67d506ccbc,1642550400000,
12229,a55834dd-0cc8-4e73-9379-33c04b9ba3fc.binning_data.json,6376986,6000,118,2022-01-18 20:48:01.969,com.sec.android.app.shealth,2022-01-17 21:15:05.168,a55834dd-0cc8-4e73-9379-33c04b9ba3fc.source_info.json,1.5156046,9664.99,495.03,12111,VfS0qUERdZ,com.sec.android.app.shealth,0,a55834dd-0cc8-4e73-9379-33c04b9ba3fc.achievement.json,a55834dd-0cc8-4e73-9379-33c04b9ba3fc,1642464000000,
18310,f4a0bbd0-3d61-4e2d-9acc-0a2cafade390.binning_data.json,9274605,10000,156,2022-01-21 21:00:01.722,com.sec.android.app.shealth,2022-01-21 21:00:01.722,,1.5710685,14571.04,742.39,18154,e7FCb+MfnB,com.sec.android.app.shealth,0,f4a0bbd0-3d61-4e2d-9acc-0a2cafade390.achievement.json,f4a0bbd0-3d61-4e2d-9acc-0a2cafade390,1642723200000,
15163,ac3d521c-173b-4b34-872c-97a7507a77e6.binning_data.json,7396128,10000,722,2022-01-19 20:58:38.077,com.sec.android.app.shealth,2022-01-18 21:41:56.260,ac3d521c-173b-4b34-872c-97a7507a77e6.source_info.json,1.6699129,12350.89,637.12,14441,VfS0qUERdZ,com.sec.android.app.shealth,0,ac3d521c-173b-4b34-872c-97a7507a77e6.achievement.json,ac3d521c-173b-4b34-872c-97a7507a77e6,1642550400000,
14861,f5345b04-2a41-420b-b794-2cd3e77a532e.binning_data.json,7448897,6000,154,2022-01-17 20:57:56.312,com.sec.android.app.shealth,2022-01-16 21:02:01.261,f5345b04-2a41-420b-b794-2cd3e77a532e.source_info.json,1.5916504,11856.04,602.88,14707,VfS0qUERdZ,com.sec.android.app.shealth,0,f5345b04-2a41-420b-b794-2cd3e77a532e.achievement.json,f5345b04-2a41-420b-b794-2cd3e77a532e,1642377600000,
