com.samsung.shealth.tracker.pedometer_step_count,6221053,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
15150,4,0,31,2022-07-17 21:20:00.000,,,2022-07-17 21:23:50.205,2022-07-17 21:23:50.205,31,1.6388888,24.83,1.2,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-17 21:21:00.000,7c0ac10c-1ef1-43ea-9e17-57582155f8bc,
4686,4,0,9,2022-07-17 21:22:00.000,,,2022-07-17 21:23:50.295,2022-07-17 21:23:50.295,9,1.4722222,6.9,0.33,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-17 21:23:00.000,f7e5032a-97ea-4a27-a9cc-172a5b9ed33b,
9433,4,0,17,2022-07-17 21:23:00.000,,,2022-07-17 21:23:50.335,2022-07-17 21:23:50.335,17,1.5,14.15,0.8,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-17 21:24:00.000,b01309c4-3332-4b82-af8c-9ddd382cda3c,
26362,4,0,43,2022-07-18 05:39:00.000,,,2022-07-18 05:39:36.600,2022-07-18 05:39:09.676,43,1.2419353,32.740005,1.6099999,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:40:00.000,19bb5a2b-d474-473f-b9aa-db954f48af3c,
18957,4,0,36,2022-07-18 05:44:00.000,,,2022-07-18 05:44:18.424,2022-07-18 05:44:00.298,36,1.4811901,28.080008,1.4399997,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:45:00.000,732f5ced-663a-4f3d-a058-c24da029ddf8,
57804,4,0,111,2022-07-18 05:43:00.000,,,2022-07-18 05:43:59.893,2022-07-18 05:43:05.052,111,1.4983174,86.60993,4.439997,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:44:00.000,96d7a672-0ab0-4692-b0d1-3944931129bf,
53967,4,0,100,2022-07-18 05:42:00.000,,,2022-07-18 05:43:04.973,2022-07-18 05:42:00.061,100,1.4280894,77.069984,3.959999,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:43:00.000,86ba4ec1-eca1-47a8-8420-b84ec077f6cd,
55705,4,0,113,2022-07-18 05:49:00.000,,,2022-07-18 05:50:19.487,2022-07-18 05:50:19.487,113,1.5833334,88.2,4.49,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:50:00.000,da5f6c8b-3793-417e-9368-3b90a6a2df31,
56888,4,0,103,2022-07-18 05:45:00.000,,,2022-07-18 05:45:59.989,2022-07-18 05:45:06.236,103,1.389554,79.04998,4.009998,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:46:00.000,3a7e4f1f-8058-4810-9094-21058984f4c7,
59232,4,0,121,2022-07-18 05:55:00.000,,,2022-07-18 05:56:07.557,2022-07-18 05:56:07.557,121,1.6111112,95.43,4.84,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:56:00.000,e15bc0b1-2b27-49ce-9da3-5878c07edfcc,
60000,4,0,122,2022-07-18 05:51:00.000,,,2022-07-18 05:55:14.705,2022-07-18 05:51:00.291,122,1.5994995,95.96997,4.8799987,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:52:00.000,248d76b8-fd68-4389-b91c-59829a8218a1,
40854,4,0,78,2022-07-18 05:50:00.000,,,2022-07-18 05:50:59.476,2022-07-18 05:50:19.525,78,1.4771929,60.349968,3.0399988,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:51:00.000,f143e195-e5e6-4780-8a9a-f593bb1e2e8a,
58725,4,0,117,2022-07-18 05:48:00.000,,,2022-07-18 05:50:19.427,2022-07-18 05:50:19.427,117,1.5555556,91.35,4.68,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:49:00.000,08aa227d-9820-4574-b103-7a73c7324e7f,
6097,4,0,14,2022-07-18 06:42:00.000,,,2022-07-18 06:42:59.443,2022-07-18 06:42:59.443,14,2.1944444,13.38,0.74,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 06:43:00.000,8ae6f635-166a-47ae-8e78-374ee79ba8f4,
58822,4,0,121,2022-07-18 05:54:00.000,,,2022-07-18 05:55:14.857,2022-07-18 05:55:14.857,121,1.6111112,94.77,4.84,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:55:00.000,d6175c72-12c1-4b98-bbdf-401b9147e394,
54260,4,0,111,2022-07-18 06:50:00.000,,,2022-07-18 06:51:23.693,2022-07-18 06:51:23.693,111,1.6111112,87.42,4.38,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 06:51:00.000,71950a1d-e8fc-44b6-b675-b27fdd0a06b1,
45163,4,0,97,2022-07-18 05:56:00.000,,,2022-07-18 05:56:53.822,2022-07-18 05:56:07.631,97,1.7217256,77.759995,3.8000002,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:57:00.000,14c4f501-e713-4525-9143-ce6d2d710158,
27192,4,0,54,2022-07-18 06:45:00.000,,,2022-07-18 06:46:49.384,2022-07-18 06:46:49.384,54,1.5555556,42.3,2.15,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 06:46:00.000,f2d3826b-0d70-42b5-b08a-253fadc35d6c,
2666,4,0,9,2022-07-18 07:19:00.000,,,2022-07-18 07:19:10.856,2022-07-18 07:19:08.990,9,3.1507785,8.400001,0.32999998,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:20:00.000,e5823503-e88c-4c10-8dfc-9d7f2ec01bdc,
39045,4,0,74,2022-07-18 05:40:00.000,,,2022-07-18 05:41:05.804,2022-07-18 05:40:05.843,74,1.4788041,57.740013,2.8499994,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:41:00.000,f243f235-f595-44b0-93f4-c5965ae6f0a6,
40244,4,0,72,2022-07-18 05:41:00.000,,,2022-07-18 05:41:59.516,2022-07-18 05:41:05.845,72,1.3765764,55.399982,2.8199992,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:42:00.000,3f3b987b-ede9-456f-b5dd-2f554916d455,
59649,4,0,111,2022-07-18 07:33:00.000,,,2022-07-18 07:35:01.824,2022-07-18 07:35:01.824,111,1.4444444,86.16,4.44,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:34:00.000,08b981bf-ea96-433c-92d6-4eb7d1b5c7c4,
60000,4,0,111,2022-07-18 07:36:00.000,,,2022-07-18 07:36:59.828,2022-07-18 07:36:27.773,111,1.4384993,86.30996,4.4399986,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:37:00.000,a609b42b-3560-4467-963f-250a248f2f37,
47184,4,0,90,2022-07-18 05:46:00.000,,,2022-07-18 05:50:19.304,2022-07-18 05:46:00.684,90,1.4769595,69.68999,3.4399989,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:47:00.000,83032709-7e6c-4b67-848a-07024af15b9f,
58617,4,0,120,2022-07-18 05:47:00.000,,,2022-07-18 05:50:19.378,2022-07-18 05:50:19.378,120,1.6111112,94.44,4.78,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:48:00.000,e35c40e3-4b24-47dc-9a38-426955fade20,
5991,4,0,10,2022-07-18 06:46:00.000,,,2022-07-18 06:49:11.108,2022-07-18 06:46:52.394,10,1.2733755,7.63,0.37,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 06:47:00.000,9c18ecd4-f3f4-45a3-b2e3-351aaa27ae69,
60000,4,0,126,2022-07-18 05:53:00.000,,,2022-07-18 05:55:14.810,2022-07-18 05:55:14.810,126,1.6765,100.59,5.04,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:54:00.000,0a81bd8c-6408-43f5-8214-17fae475b3d5,
47546,4,0,94,2022-07-18 07:39:00.000,,,2022-07-18 07:39:59.970,2022-07-18 07:39:00.374,94,1.5429059,73.35999,3.7299995,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:40:00.000,b6d2683a-e373-4984-b5de-c2d987deed87,
4265,4,0,10,2022-07-18 06:49:00.000,,,2022-07-18 06:51:23.620,2022-07-18 06:49:12.363,10,2.0067725,8.559999,0.36,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 06:50:00.000,179ce701-0090-48f3-83e4-c27efb58d4e5,
3610,4,0,6,2022-07-18 07:25:00.000,,,2022-07-18 07:25:21.405,2022-07-18 07:25:21.405,6,1.8611112,6.72,0.45,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:26:00.000,c09045a2-6481-448f-99d4-17a7f6d0011d,
52477,4,0,104,2022-07-18 06:44:00.000,,,2022-07-18 06:46:49.314,2022-07-18 06:44:50.568,104,1.5673345,82.25,4.12,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 06:45:00.000,3ab05473-8343-440b-979c-68c3dace9f87,
60000,4,0,113,2022-07-18 07:37:00.000,,,2022-07-18 07:38:03.055,2022-07-18 07:37:00.461,113,1.4459996,86.75998,4.5199986,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:38:00.000,cb9d9ca2-9294-4d71-a819-fb1af7de31e5,
2678,4,0,6,2022-07-18 07:02:00.000,,,2022-07-18 07:02:09.507,2022-07-18 07:02:09.507,6,1.8333333,4.91,0.21,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:03:00.000,3ce48077-e6f1-44de-996a-a13e1621e00e,
57436,4,0,124,2022-07-18 07:43:00.000,,,2022-07-18 07:43:59.922,2022-07-18 07:43:07.402,124,1.7309633,99.41995,4.9599977,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:44:00.000,e51c180f-d3ef-4919-8929-924d1b77678d,
33622,4,0,64,2022-07-18 07:32:00.000,,,2022-07-18 07:35:01.768,2022-07-18 07:35:01.768,64,1.4722222,49.5,2.53,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:33:00.000,0c30ea7d-aeab-4b89-bafd-317afe2b4dff,
55425,4,0,118,2022-07-18 07:45:00.000,,,2022-07-18 07:45:59.625,2022-07-18 07:45:14.307,118,1.7071638,94.61999,4.6299996,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:46:00.000,e222c338-fca9-4536-a980-78db29f0f38a,
60000,4,0,119,2022-07-18 07:38:00.000,,,2022-07-18 07:38:59.785,2022-07-18 07:38:03.112,119,1.5469991,92.81995,4.759999,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:39:00.000,f2882f14-95ab-4015-a803-9bb695c9f21d,
7656,4,0,15,2022-07-18 08:33:00.000,,,2022-07-18 08:35:09.531,2022-07-18 08:35:09.531,15,1.5555556,11.91,0.54,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 08:34:00.000,d5903ba2-99f1-4b92-9fc2-d6aec8700b71,
60000,4,0,108,2022-07-18 08:40:00.000,,,2022-07-18 08:40:59.625,2022-07-18 08:40:00.130,108,1.3844997,83.06998,4.3199973,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 08:41:00.000,4f05da20-2e70-4bfb-9b87-ec623ff5ed98,
56119,4,0,118,2022-07-18 07:44:00.000,,,2022-07-18 07:45:14.245,2022-07-18 07:44:00.311,118,1.6839086,94.5,4.7,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:45:00.000,2de4b230-a8c4-42e7-a993-e3bd62e493e8,
51257,4,0,106,2022-07-18 09:03:00.000,,,2022-07-18 09:05:09.724,2022-07-18 09:03:00.642,106,1.635666,83.840004,4.0499997,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 09:04:00.000,a618b39d-279b-41fe-8ce2-a1789b894c9a,
58613,4,0,111,2022-07-18 07:35:00.000,,,2022-07-18 07:36:27.708,2022-07-18 07:35:23.122,111,1.480727,86.78993,4.439998,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:36:00.000,e3c46b8f-c230-4dc8-9fce-2c11c3591258,
26451,4,0,42,2022-07-18 09:10:00.000,,,2022-07-18 09:10:59.400,2022-07-18 09:10:30.331,42,1.1863159,31.379997,1.58,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 09:11:00.000,2c6ef217-8e71-46f1-93fb-3ec5e697ce54,
50692,4,0,98,2022-07-18 07:41:00.000,,,2022-07-18 07:41:59.538,2022-07-18 07:41:00.452,98,1.5104806,76.56998,3.889999,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:42:00.000,8917e4db-b5a7-4823-aea4-6b2fd80a4086,
24635,4,0,51,2022-07-18 10:56:00.000,,,2022-07-18 10:56:52.358,2022-07-18 10:56:31.026,51,1.735332,42.75,2.25,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 10:57:00.000,3b5dad3c-c936-4a19-9c6c-8749c9610d80,
35068,4,0,72,2022-07-18 07:47:00.000,,,2022-07-18 07:48:21.348,2022-07-18 07:47:05.777,72,1.6348186,57.33,2.8700001,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:48:00.000,c60586cd-e6a0-405e-a854-0c2cf574c87d,
60000,4,0,120,2022-07-18 05:52:00.000,,,2022-07-18 05:55:14.761,2022-07-18 05:55:14.761,120,1.5599998,93.6,4.8,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 05:53:00.000,ba7619f4-0eb8-4d7b-9291-da07eaf42d1f,
60000,4,0,121,2022-07-18 07:42:00.000,,,2022-07-18 07:43:07.331,2022-07-18 07:42:00.135,121,1.5729992,94.37996,4.8399982,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 07:43:00.000,e0ca6298-9166-4c81-97ba-1b959eb8a62c,
58222,4,0,109,2022-07-18 08:38:00.000,,,2022-07-18 08:38:59.356,2022-07-18 08:38:00.237,109,1.4602579,85.01993,4.3599973,UTC+0300,e7FCb+MfnB,com.sec.android.app.shealth,2022-07-18 08:39:00.000,3610f3d2-6a45-49d5-893c-ce378b85f683,
